labels,ENG,DEU,NLD,JPN,SPA,TUR,POR,ITA,UKR
### pack0,83,1465
prgtxtoky,Ok,Ok,Ok,Ok,Aceptar,Ok,Ok,Ok,Гаразд
prgtxtcnc,Cancel,Abbruch,Annuleren,キャンセル,Cancelar,İptal,Cancelar,Annulla,Скасувати
prgtxtbrw,Browse...,Wählen...,Bladeren...,せんたく,Explorar...,Gözat…...,Buscar…,Sfoglia,Огляд…
prgtxtfnx,Find next,Suchen,Volgende zoeken,つぎ,Siguiente,Sonrakini bul,Localizar,Trova succ.,Знайти далі
prgtxtfrp,Replace,Ersetzen,Vervangen,ちかん,Reemplazar,Değiştir,Substituir,Sostituisci,Замінити
prgtxtfra,Replace all,Alle ersetz.,Alles vervangen,すべて ちかん,Reempl.todo,Tümünü değiştir,Subst. tudo,Sost. tutto,Замінити все
prgtxtinf1,Wordpad for SymbOS,Wordpad für SymbOS,Wordpad voor SymbOS,Wordpad for SymbOS,Wordpad para SymbOS,SymbOS için Wordpad,Wordpad para SymbOS,Wordpad per SymbOS,Wordpad для SymbOS
prgtxtinf3, Copyright <c> 2025 SymbiosiS, Copyright <c> 2025 SymbiosiS, Copyright <c> 2025 SymbiosiS, Copyright <c> 2025 SymbiosiS, Copyright <c> 2025 SymbiosiS, Copyright <c> 2025 SymbiosiS, Copyright <c> 2025 SymbiosiS, Copyright <c> 2025 SymbiosiS, © 2025 SymbiosiS
_edtchgm,Lin Col Siz Mrk ,Zei Spa Grö Mrk ,Reg Kol Gro Mkr ,ぎょうけた  サイズマーク ,Lín Col Tam Mrc ,Sat Süt Boy Mrk ,Lin Col Tam Mrc ,Lin Col Dim Seg ,Рд  стп рзм виб 
prgtxterra,Textbuffer full. Only a part of,Textspeicher voll. Nur ein,Tekstbuffer vol. Slechts een deel van,テキストバッファー が いっぱい です。,Búfer de texto lleno. Solo parte,Metin arabelleği dolu. Belgenin,Buffer de texto cheio. Apenas parte,Buffer pieno. Solo una parte,Текстовий буфер заповнений.
prgtxterrb,the document has been loaded.,Teil konnte geladen werden.,document geladen.,ドキュメント の いちぶ だけ が よみこみ されました。,del documento ha sido cargado.,yalnızca bir kısmı yüklendi.,do documento foi carregado.,del documento è stata caricata.,Файл завантажений частково.
