labels,ENG,JPN,DEU,NLD,ELL,SPA,TUR,POR,ITA,UKR
### pack0,133,2036
prgerrlod,Error while loading.,ロードちゅうにエラーがはっせいしました。,Fehler beim Laden.,Fout bij laden.,Σφάλμα κατά τη φόρτωση.,Error al cargar.,Yüklerken hata oluştu.,Erro ao carregar.,Errore durante il caricamento.,Помилка завантаження.
prgwintit,Control Panel,コントロールパネル,Systemsteuerung,Configuratiescherm,Πίνακας Ελέγχου,Panel de Control,Yönetim Paneli,Painel de Controle,Pannello di controllo,Панель керування
prgwinsta,8 Object(s),８オブジェクト,8 Element(e),8 objecten,8 Αντικείμενα,8 Objeto(s),8 Nesne,8 objeto(s),8 elementi,Елементів: 8
prgwinmentx1,File,ファイル,Datei,Bestand,Αρχείο,Archivo,Dosya,Arquivo,File,Файл
prgwinmentx2,?,？,?,?,?,?,?,?,?,?
prgwinmen1tx1,Load settings,せっていをロード,Laden,Instellingen laden,Φόρτωση ρυθμίσεων,Cargar,Ayarları yükle,Carregar,Carica,Завантажити
prgwinmen1tx2,Save settings,せっていをセーブ,Speichern,Instellingen opslaan,Αποθήκευση ρυθμίσεων,Guardar,Ayarları kaydet,Salvar,Salva,Зберегти
prgwinmen1tx3,Autosave,オートセーブ,Autom.speichern,Auto-opslag,Αυτόματη αποθήκευση,Autoguardado,Otomatik kaydet,Automático,Salvataggio automatico,Автозбереження
prgwinmen1tx4,Close,とじる,Beenden,Sluiten,Κλείσιμο,Cerrar,Kapat,Fechar,Chiudi,Закрити
prgwinmen2tx1,Helptopics,ヘルプトピック,Hilfethemen,Help,Θέματα βοήθειας,Ayuda,Yardım konuları,Ajuda,Aiuto,Довідка
prgwinmen2tx2,Info,じょうほう,Info,Info,Πληροφορίες,Info,Bilgi,Info,Info,Інформація
prgicnkey1a,Keyboard,キーホﾞートﾞ,Tastatur,Toetsen-,Πληκτρο-,Teclado,Klavye,Teclado,Tastiera,Клавіатура
prgicnkey1b,,,,bord,λόγιο,,,,,
prgicnmou2a,Mouse,マウス,Maus,Muis,Ποντίκι,Ratón,Fare,Mouse,Mouse,Миша
prgicnmou2b,,,,,,,,,,
prgicndsp3a,Display,テﾞィスフﾟレイ,Anzeige,Weergave,Οθόνη,Pantalla,Ekran,Tela,Display,Дисплей
prgicndsp3b,,,,,,,,,,
prgicntim4a,Date and,日時,Datum &,Datum en,Ημερομ.,Fecha y,Tarih,Data e,Data e,Дата та
prgicntim4b,Time,,Uhrzeit,Tijd,και Ώρα,Hora,ve Saat,Hora,Ora,час
prgicnfnt5a,Font and,フォントと,Schriftart,Lettertype,Γραμ ,Fuente e ,Font,Fonte e,Carattere,Шрифт та
prgicnfnt5b,Language,げんご,& Sprache,en taal,και Γλώσσα,Idioma,ve Dil,Idioma,e Lingua,мова
prgicnsys6a,System,システム,System,Systeem,Σύστημα,Sistema,Sistem,Sistema,Sistema,Система
prgicnsys6b,,,,,,,,,,
prgicndev7a,Mass,マス,Massen-,Opslag,Μαζική,Almacena-,Yığın,Armazena-,Dischi,Диски
prgicndev7b,Storage,ストレーシﾞ,speicher,Bronnen,Αποθ.,miento,Depolama,mento,,
prgicnlnk8a,Desktop,デスクトップ,Verknüpfungen,Bureaublad,Συντομεύσεις,Escritorio,Masaüstü,Área de trabalho,Desktop,Робочий стіл
prgicnlnk8b,Shortcuts,リンク,,Snelkoppelingen,,Atajos,Kısayollar,Atalhos,Collegamenti,Ярлики
prgicnlnk8c,Startmenu,スタートメニュー,Startmenü,Startmenu,Μενού,Menú Inicio,Başlangıç,Menu,Menù start,Меню
prgicnlnk8d,,,,,,,Menüsü,Iniciar,,"""Пуск"""
prgtitkey,Keyboard,キーホﾞートﾞ,Tastatur,Toetsenbord,Πληκτρολόγιο,Teclado,Klavye,Teclado,Tastiera,Клавіатура
prgtitmou,Mouse,マウス,Maus,Muis,Ποντίκι,Ratón,Fare,Mouse,Mouse,Миша
prgtitfnt,Font and Language,フォントとげんご,Schriftart und Sprache,Lettertype en taal,Γραμματοσειρά και Γλώσσα,Fuente e Idioma,Font ve Dil,Fonte e idioma,Carattere e Lingua,Шрифт та мова
prgtitsys,System,システム,System,Systeem,Σύστημα,Sistema,Sistem,Sistema,Sistema,Система
prgtitlnk,Desktop and Startmenu Links,デスクトップとスタートメニューのリンク,Verknüpfungen,Bureaublad en Startmenu,Συντομεύσεις,Atajos,Bağlantılar,Atalhos,Desktop e collegamenti del menù avvio,-
prgbuttxt1,Ok,OK,Ok,OK,ΟΚ,Aceptar,Ok,Ok,Ok,Гаразд
prgbuttxt2,Cancel,キャンセル,Abbruch,Annuleer,Άκυρο,Cancelar,İptal,Cancelar,Annulla,Скасувати
prgbuttxt3,Apply,てきよう,Überneh.,Bevestig,Εφαρμ.,Aplicar,Uygula,Aplicar,Applica,Задіяти
prgbuttxt4,Load,ロード,Laden,Laden,Φόρτ.,Cargar,Yükle,Carregar,Carica,Заван.
prgbuttxt5,Save,セーブ,Speichern,Opslaan,Αποθ.,Guardar,Kaydet,Salvar,Salva,Збер.
prgtitdev,Mass Storage Devices,マスストレージデバイス,Massenspeicher,Opslagapparaten,Συσκ. Αποθ. ,Almacenamiento,Yığın Depolama Aygıtları,Armazenamento ,Dispositivi di archiviazione,Накопичувачі даних
prgtxtdev1,Drives,ドライブ,Laufwerke,Stations,Μονάδες,Unidades,Sürücüler,Unidades,Dischi,Накопичувачі
prgtxtdev2,Settings,せってい,Einstellungen,Instellingen,Ρυθμίσεις,Opciones,Ayarlar,Configurações,Impostazioni,Налаштування
prgtxtdev3,Del,-,-,-,-,-,Sil,-,-,—
prgtxtdev4,Add,+,+,+,+,+,Ekle,+,+,+
prgtxtdev5,Name,なまえ,Name,Naam,Όνομα,Nombre,İsim,Nome,Nome,Ім'я:
prgtxtdev6,Floppy disk,フロッピーディスク,Diskette,Diskette,Δισκέτα,Unidad de disco,Floppy disk,Disquete,Floppy disk,Гнучкий диск
prgtxtdev7,IDE device,IDEデバイス,IDE Gerät,IDE-apparaat,Συσκευή IDE,IDE,IDE aygıtı,IDE,IDE,IDE
prgtxtdeva,SD/MMC card reader,SD／MMCカードリーダー,SD/MMC Leser,SD/MMC-lezer,SD/MMC reader,SD/MMC,SD/MMC kart okuyucu,SD/MMC,SD/MMC,SD/MMC
prgtxtdevb,SCSI/USB device,SCSI／USBデバイス,SCSI/USB Gerät,SCSI/USB-apparaat,Συσκευή SCSI/USB,SCSI/USB,SCSI/USB aygıtı,SCSI/USB,SCSI/USB,SCSI/USB
prgtxtdev8,Removeable medium,リムーバブルメディア,Wechseldatenträger,Verwisselbaar medium,Αφαιρούμενο μέσο,Unidad extraíble,Çıkarılabilir ortam,Mídia removível,Disco rimovibile,Змінний носій
prgtxtdev9,Specifics,くわしく,Spezifisch,Details,Λεπτομέρειες,Detalles,Detaylar,Detalhes,Specifiche,Подробиці
prgtxtdeve,Drive letter,ドライブレター,Laufwerkbuchs.,Stationletter.,Γράμμα μονάδας,Letra Unidad,Sürücü Harfi,Unidade,Lettera di unità,Буква:
prgtxtdevf,Double step,ダブルステップ,Doppelschritt,Dubbele stap,Διπλό βήμα,Doble paso,Çift adım,Passo duplo,Doppio passaggio,Подвійний крок
prgtabdevba,Master,マスター,Master,Master,Κύρια,Maestro,Master,Mestre,Master,Головний
prgtabdevbb,Slave,スレーブ,Slave,Slave,Δευτερεύουσα,Esclavo,Slave,Escravo,Slave,Підлеглий
prgtabdevca,Slot 1,スロット１,Slot 1,Slot 1,Θέση 1,Ranura 1,Yuva 1,Slot 1,Slot 1,Слот 1
prgtabdevcb,Slot 2,スロット２,Slot 2,Slot 2,Θέση 2,Ranura 2,Yuva 2,Slot 2,Slot 2,Слот 2
prgtabdevda,Device 0,デバイス０,Gerät 0,Appar.0,Συσκ. 0,Disp.0,Aygıt 0,Disp.0,Disp.0,#0
prgtabdevdb,Device 1,デバイス１,Gerät 1,Appar.1,Συσκ. 1,Disp.1,Aygıt 1,Disp.1,Disp.1,#1
prgtabdevdc,Device 2,デバイス２,Gerät 2,Appar.2,Συσκ. 2,Disp.2,Aygıt 2,Disp.2,Disp.2,#2
prgtabdevdd,Device 3,デバイス３,Gerät 3,Appar.3,Συσκ. 3,Disp.3,Aygıt 3,Disp.3,Disp.3,#3
prgtabdevde,Device 4,デバイス４,Gerät 4,Appar.4,Συσκ. 4,Disp.4,Aygıt 4,Disp.4,Disp.4,#4
prgtabdevdf,Device 5,デバイス５,Gerät 5,Appar.5,Συσκ. 5,Disp.5,Aygıt 5,Disp.5,Disp.5,#5
prgtabdevdg,Device 6,デバイス６,Gerät 6,Appar.6,Συσκ. 6,Disp.6,Aygıt 6,Disp.6,Disp.6,#6
prgtabdevdh,Device 7,デバイス７,Gerät 7,Appar.7,Συσκ. 7,Disp.7,Aygıt 7,Disp.7,Disp.7,#7
prgtabdevxa,Head 0,ヘッド０,Kopf 0,Kop 0,Κεφαλή 0,Cabezal 0,Başlık 0,Cabeça 0,Testina 0,Голівка 0
prgtabdevxb,Head 1,ヘッド１,Kopf 1,Kop 1,Κεφαλή 1,Cabezal 1,Başlık 1,Cabeça 1,Testina 1,Голівка 1
prgtabdevya,Not partitioned,パーティションなし,Nicht partitioniert,Geen partitie,Χωρίς διαμέριση,Sin particionar,Bölümlendirilmemiş,Não particionado,Non partizionato,не розподілено
prgtabdevyb,Primary partition 1,プライマリーパーティション１,Prim.Partition 1,Partition 1,διαμέρισμα 1,Part.1,Birincil bölüm 1,Part.1,Partiz. 1,Розділ 1
prgtabdevyc,Primary partition 2,プライマリーパーティション２,Prim.Partition 2,Partition 2,διαμέρισμα 2,Part.2,Birincil bölüm 2,Part.2,Partiz. 2,Розділ 2
prgtabdevyd,Primary partition 3,プライマリーパーティション３,Prim.Partition 3,Partition 3,διαμέρισμα 3,Part.3,Birincil bölüm 3,Part.3,Partiz. 3,Розділ 3
prgtabdevye,Primary partition 4,プライマリーパーティション４,Prim.Partition 4,Partition 4,διαμέρισμα 4,Part.4,Birincil bölüm 4,Part.4,Partiz. 4,Розділ 4
