labels,ENG,UKR,JPN,DEU,NLD,SPA,TUR,POR,ITA
### pack0,140,2927
dicpretxt1,Please close the previous,"Будь ласка, спочатку закрийте",ショートカットのダイアログを,Bitte zuerst das andere,Sluit vorige,Primero cierre,Lütfen önce ilk,Feche o diálogo de,Chiudi la precedente finestra
dicpretxt2,shortcut dialogue first.,попереднє діалогове вікно ярлика.,さきにとじてください。,Verknüpfungs-Fenster schließen.,snelkoppeling venster eerst,el diálogo de atajo previo.,kısayol diyaloğunu kapatın.,atalho anterior primeiro.,di dialogo sui collegamenti.
wdgpretxt1,Please close the previous,"Будь ласка, спочатку закрийте",ウィジェットのダイアログを,Bitte zuerst das andere,Sluit vorige,Primero cierre,Lütfen önce ilk,Feche o diálogo de,Chiudi la precedente finestra
wdgpretxt2,widget dialogue first.,попереднє діалогове вікно віджета.,さきにとじてください。,Widget-Fenster schließen.,widget venster eerst,el diálogo de widget previo.,widget diyaloğunu kapatın.,widget anterior primeiro.,di dialogo sui widget.
dicfletxt1,Error while reading file.,Помилка читання файлу.,ファイルのよみこみエラー。,Fehler beim Laden.,Fout bij lezen.,La tienda falló.,Dosyayı okurken hata oluştu.,Erro ao ler arquivo.,Errore di lettura del file.
wdgfletxt2,Wrong widget format or disc error.,Некоректний формат віджету або помилка читання диску.,ウィジェットのフォーマットまたはディスクエラー。,Widget- oder Datenträger-Problem.,Ongeldig widgetformaat.,Error de widget o disco.,Yanlış widget formatı veya disk hatası.,Erro de widget ou disco.,Problema del widget o del disco.
dicfletxt2,Wrong icon format or disc error.,Некоректний формат піктограми або помилка читання диску.,アイコンのフォーマットまたはディスクエラー。,Icon- oder Datenträger-Problem.,Ongeldig pictogramformaat.,Error de icono o disco.,Yanlış simge formatı veya disk hatası.,Erro de ícone ou disco.,Problema dell’icona o del disco.
wdgdeltxt1,Are you sure you want to delete,Ви впевнені що хочете,このウィジェットを,Soll dieses Widget wirklich,Wilt u deze,¿Seguro que quieres borrar,Bu widget’ı silmek İstediğinize,Tem certeza que deseja,Sicuro di voler eliminare
wdgdeltxt2,this widget?,видалити цей віджет?,さくじょしてもよろしいですか?,gelöscht werden?,Widget verwijderen?,este widget?,emin misiniz?,excluir este widget?,questo widget?
dicdeltxt1,Are you sure you want to delete,"Ви впевнені, що хочете видалити",さくじょしても,Bitte Löschen bestätigen für:,Het volgende te verwijderen:,¿Seguro que quieres borrar?,Silmek istediğinize emin misiniz,Tem certeza que deseja excluir,Sei sicuro di voler cancellare
dicmemtxt1,Memory full.,Пам'ять переповнена.,メモリがいっぱいです。,Speicher voll,Geheugen vol,Memoria llena.,Bellek doldu.,Memória cheia.,Memoria esaurita
