labels,ENG,DEU,NLD,JPN,SPA,TUR,POR,ITA,UKR
### pack0,51,1059
prgtxtoky,Ok,Ok,OK,Ok,Aceptar,Ok,Ok,Ok,Гаразд
prgtxtcnc,Cancel,Abbruch,Annuleer,キャンセル,Cancelar,İptal,Cancelar,Annulla,Скасувати
stamentxt1,File,Datei,Bestand,ファイル,Archivo,Dosya,Arquivo,File,Файл
stamentxt2,?,?,?,？,?,?,?,?,?
stamentxt11, Hide on startup, Beim Start ausblenden, Verbergen bij opstarten, きどうじにかくす, Ocultar al iniciar, Başlarken gizle, Ocultar ao iniciar, Nascondi all'avvio, Згорнути після запуску
stamentxt12, Reset all connections, Alle Verbindungen trennen, Alle verbindingen resetten, すべてのせつぞくをリセット, Resetear todas las conexiones, Tüm bağlantıları sıfırla, Redefinir conexões, Resetta tutte le connessioni, Скинути всі підключення
stamentxt13, Quit, Beenden, Afsluiten, しゅうりょう, Quitar, Çıkış, Sair, Esci, Вийти
stamentxt21, Index, Hilfethemen, Index, インデックス, Índice, Dizin, Índice, Indice, Індекс
stamentxt22, About, Info, Over, じょうほう, Info, Hakkında, Sobre, Info, Про програму
statxttit,Network daemon,Network Daemon,Netwerkdaemon,ネットワークデーモン,Servicio de Red,Ağ servisi,Network Daemon,Servizio di rete,Мережева служба
statxtbta,Hide,Ausblenden,Verbergen,かくす,Ocultar,Gizle,Ocultar,Nascondi,Згорнути
statxtbtb,Network settings,Einstellungen,Netwerkinstellingen,ネットワークのせってい,Opciones de Red,Ağ ayarları,Configurações,Impostazioni direte,Налаштування мережі
statxtbtc,Apply,Überneh.,Toepassen,てきよう,Aplicar,Uygula,Aplicar,Applica,Задіяти
statxttba1,Status,Status,Status,じょうたい,Estado,Durum,Status,Status,Стан
statxttba3,Driver,Treiber,Stuurprogramma,ドライバー,Driver,Sürücü,Driver,Driver,Драйвер
statxtfra,Network status,Netzwerk Status,Netwerkstatus,ネットワークのじょうたい,Estado de Red,Ağ durumu,Status da rede,Stato della rete,Стан мережі
statxttxc,Status,Status,Status,じょうたい,Estado,Durum,Status,Stato,Стан:
statxttxd,Connections,Verbindungen,Verbindingen,せつぞくすう,Conexiones,Bağlantılar,Conexões,Connessioni,Підключення:
statxttxe,Maximum,Maximal,Maximum,さいだい,Máximo,Maksimum,Máximo,Massimo,Максимум:
statxttxf,Sent,Gesendet,Verzonden,そうしん,Enviado,Gönderildi,Enviado,Inviato,Відправлено:
statxttxg,Received,Empfangen,Ontvangen,じゅしん,Recibido,Alındı,Recebido,Ricevuto,Отримано:
statxttxh,Type,Typ,Type,タイプ,Teclear,Tip,Tipo,Tipo,Тип:
statxttxh1,Manually set,Manuell gesetzt,Handmatig,しゅどうせってい,Manualmente ,Elle ayarla,Manual,Manualmente,Вручну
statxtfrb,IP settings,IP Einstellungen,IP-instellingen,IPのせってい,Opciones de IP,IP ayarları,Configurações de IP,Configurazione IP,Налаштування IP
statxtfrc,DNS settings,DNS Einstellungen,DNS-instellingen,DNSのせってい,Opciones de DNS,DNS ayarları,Configurações de DNS,Impostazioni DNS,Налаштування DNS
statxtfrd,Status,Status,Status,じょうたい,Estado,Durum,Status,Stato,Стан
statxtfre,DenYoNet Settings,DenYoNet Einstellungen,DenYoNet-instellingen,DenYoNetのせってい,Opciones de DenYoNet,DenYoNet Ayarları,Configurações DenYoNet,Impostazioni DenYoNet,Налаштування DenYoNet
statxtfrf,Localhost Settings,Localhost Einstellungen,Localhost-instellingen ,ローカルホストのせってい,Opciones de servidor local,Localhost Ayarları,Configurações de Localhost,Impostazioni Localhost,Налаштування Localhost
statxtfrg,GR8NET Settings,GR8NET Einstellungen,GR8NET-instellingen,GR8NETのせってい,Opciones de GR8NET,GR8NET Ayarları,Configurações GR8NET,GR8NET Impostazioni,Налаштування GR8NET
statxtfrh,M4 Board Settings,M4 Board Einstellungen,M4 Board-instellingen,M4 Boardのせってい,Opciones de Tarjeta M4,M4 Board Ayarları,Configurações M4 Board,M4 Board Impostazioni,Налаштування M4 Board
statxtfri,Net4CPC Settings,Net4CPC Einstellungen,Net4CPC-instellingen,Net4CPSCのせってい,Opciones de Net4CPC,Net4CPC Ayarları,Configurações Net4CPC,Net4CPC Impostazioni,Налаштування Net4CPC
cfgtxttit,TCP/IP properties,TCP/IP Eigenschaften,TCP/IP-eigenschappen,TCP/IPのプロパティ,Propiedades de TCP/IP,TCP/IP Ayarları,Propriedades TCP/IP,Proprietà TCP/IP,Налаштування TCP/IP
cfgtxttba1,IP address,IP Adresse,IP-adres,IPアドレス,Dirección IP,IP adresi,Endereço IP,Indirizzo IP,IP-адреса
cfgtxttba2,DNS & Hostname,DNS & Hostname,DNS & Hostnaam,DNSとホストめい,DNS y Nombre del servidor,DNS & Ana Bilgisayar,DNS e Nome do host,DNS & Nome Host,DNS та ім'я комп'ютера
cfgtxttxa,You can get IP settings assigned automatically,IP Adressen können automatisch zugewiesen,IP-instellingen kunnen automatisch worden,ルーターがじどうわりあてにたいおうしていれば,Se asignarán automáticamente las opciones,"Ağınız bu özelliği destekliyorsa,",As configurações de IP podem ser atribuídas,Se la tua rete lo supporta puoi,Параметри протоколу IP можуть призначатись
cfgtxttxb,if your network supports this capability.,werden. Wenn das Netzwerk dies nicht,toegewezen als je netwerk dit ondersteunt.,IPがじどうしゅとくできます,de IP si es soportado por tu red.,IP ayarlarını otomatik olarak atayabilirsiniz.,automaticamente se sua rede suportar.,ottenere l'ìindirizzo IP automaticamente,"автоматично, якщо ваша мережа це підтримує."
cfgtxttxc,"Otherwise, you need to ask your network admin",unterstützt muß die korrekte IP-Einstellung,Anders vraag je je netwerkbeheerder,そうでないばあいは ただしいIPアドレスを,"Si no, debes pedir las opciones de IP","Aksi takdirde, uygun IP ayarları için ağ","Caso contrário, você precisa solicitar ao",Altrimenti devi richiedere l'IP al,В іншому разі слід отримати параметри IP
