labels,ENG,DEU,NLD,JPN,SPA,TUR,POR,ITA,UKR
### pack0,59,770
prgmsginf1,SymbOS TASK MANAGER,SymbOS TASK MANAGER,SymbOS TAAKBEHEER,SymbOSタスクマネージャー,GESTOR DE TAREAS de SymbOS,SymbOS GÖREV YÖNETİCİSİ,GERENCIADOR DE TAREFAS,SymbOS TASK MANAGER,Диспетчер завдань SymbOS
prgmsginf3, Copyright <c> 2025 SymbiosiS, Copyright <c> 2025 SymbiosiS,Copyright © 2025 SymbiosiS, Copyright <c> 2025 SymbiosiS, Copyright <c> 2025 SymbiosiS, Copyright <c> 2025 SymbiosiS, © 2025 SymbiosiS, © 2025 SymbiosiS, © 2025 SymbiosiS
przpritxt1,Do you want to change the priority?,Priorität ändern?,Prioriteit wijzigen?,ゆうせんどをへんこうしますか？,¿Quieres cambiar la prioridad?,Öncelik değişikliği mi?,Deseja alterar a prioridade?,Vuoi modificare la priorità?,Бажаєте змінити пріоритет?
przpritxt2, Changing the proirity could, Kann zur System-, Kan systeeminstabiliteit,システムがふあんてい, Cambiar la prioridad puede ,Sistem istikrarsızlığına, Alterar a prioridade pode,Modificarla può causare, Це може призвести до
przpritxt3, cause system instability., Instabilität führen., veroorzaken.,になるおそれがあります, provocar inestabilidad del sistema.,yol açabilir., causar instabilidade no sistema.,instabilità del sistema., нестабільності системи.
tskdattit,Task Manager,Task Manager,Taakbeheer,タスクマネージャー,Gestor de Tareas,Görev Yöneticisi,Gerenciador de Tarefas,Task Manager,Диспетчер завдань
prgdatmentx1,File,Datei,Bestand,ファイル,Archivo,Dosya,Arquivo,File,Файл
prgdatmen1tx1,New Task (Run...),Neuen Task ausführen...,Nieuwe taak uitvoeren...,あたらしいタスクのじっこう,Nueva Tarea…,Yeni Görev…,Nova Tarefa…,Nuovo Task (esegui..),Нове завдання…
prgdatmen1tx2,Exit Task Manager,Beenden,Afsluiten,しゅうりょう,Salir,Kapat,Sair,Esci da Task Manager,Закрити диспетчер
prgdatmentx2,View,Anzeige,Beeld,ひょうじ,Ver,Görüntüle,Exibir,Visualizza,Вигляд
prgdatmen2tx1,Refresh Now,Aktualisieren,Vernieuwen,こうしんする,Actualizar,Şimdi Tazele,Atualizar,Aggiorna,Оновити
prgdatmen2tx2,Update Speed,Aktualis.Rate,Snelheid,そくど,Actualizar Velocidad,Hızı Güncelle,Velocidade de Atualização,Aggiorna velocità,Швидкість оновлення
prgdatmen4tx1,High,Hoch,Hoog,はやい,Alta,Yüksek,Alta,Alta,Висока
prgdatmen4tx2,Normal,Normal,Normaal,ふつう,Normal,Normal,Normal,Normale,Звичайна
prgdatmen4tx3,Low,Niedrig,Laag,おそい,Baja,Düşük,Baixa,Bassa,Низька
prgdatmen4tx4,Paused,Angehalten,Gepauzeerd,ポーズ,Pausado,Duraklatıldı,Pausado,Pausa,Призупинити
prgdatmen2tx3,Only when focus,Nur im Vordergrund,Bij focus,フォーカスじのみ,Solo cuando activo,Sadece odaklanıldığında,Quando ativo,Solo quando attivo,Лише коли активно
prgdatmentx3,?,?,?,？,?,?,?,?,?
prgdatmen3tx1,Help Topics,Hilfe,Help,ヘルプ,Ayuda,Yardım,Ajuda,Aiuto,Довідка
prgdatmen3tx2,About,Info,Over,じょうほう,Info,Hakkında,Sobre,Info,Про програму
przdatmentx1,Kill process,Prozess beenden,Proces beëindigen,タスクキル,Terminar,İşlemi öldür,Encerrar,Termina processo,Завершити процес
przdatmentx2,Send to sleep,Schlafen legen,Slaapstand,スリープ,Pausar,Uykuya gönder,Suspender,Metti in pausa,Приспати
przdatmentx3,Set priority,Priorität ändern,Prioriteit,ゆうせんど,Prioridad,Öncelik belirle,Definir prioridade,Imposta priorità,Пріоритет
przdatmen1tx1,Realtime,Echtzeit,Realtime,リアルタイム,Tiempo real,Gerçek zamanlı,Tempo real,Tempo reale,Реального часу
przdatmen1tx2,High,Sehr hoch,Hoog,たかい,Alto,Yüksek,Alta,++,++
przdatmen1tx3,Above normal,Höher,Boven normaal,ふつうよりたかい,Normal +,Normalin üzerinde,Normal +,+,+
przdatmen1tx4,Normal,Normal,Normaal,ふつう,Normal,Normal,Normal,Normale,Середній
przdatmen1tx5,Below normal,Niedriger,Onder normaal,ふつうよりひくい,Normal -,Normalin altında,Normal -,-,-
przdatmen1tx6,Low,Sehr niedrig,Laag,ひくい,Bajo,Düşük,Baixa,--,--
przdatmen1tx7,Background,Hintergrund,Achtergrond,バックグラウンド,Fondo,Arkaplan,Segundo plano,In secondo piano,Фоновий
tsktabtxt1,Apps.,Anwend.,Apps.,アプリ,Aplic.,Uygulama,Aplic.,Apps.,Застос.
tsktabtxt2,Proces.,Prozesse,Processen,プロセス,Proc.,İşlemler.,Proc.,Proces.,Процеси
tsktabtxt3,Performance,Leistung,Prestaties,パフォーマンス,Rendimiento,Perform.,Desempenho,Performance,Прод.
